official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
AIST-1,"Samara State Aerospace University, SGAU",Russia,Civil,Technology Development,LEO,Polar,599,626,0.00193,82.4,96.9,1200,980,1500,12/28/2013,10,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492
Condor E2,Armed Forces,South Africa,Military,Earth Observation,LEO,Polar,499,501,0.000146,74.75,94.62,1200,980,1500,12/19/2014,10,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2014-084A,40353
Cosmos 2504,Ministry of Defense,Russia,Military,Technology Development,LEO,Polar,1171,1504,0.0216,82.4,112.41,1200,980,1500,3/31/2015,10,Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020D,40555
Cosmos 2510,Ministry of Defense,Russia,Military,Earth Observation,Elliptical,Molniya,1606,38662,0.699,63,715,1200,980,1500,11/17/2015,10,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1,2015-066A,41032
USA 215,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,1101,1107,0.000401,122.99,107.35,1200,980,1500,9/21/2010,10,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2010-046A,37162
USA 234,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,1068,1107,0.00261,123,107,1200,980,1500,4/3/2012,10,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2012-014A,38109
USA 247,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,1066,1081,0.00101,123,106.7,1200,980,1500,12/6/2013,10,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2013-072A,39462
USA 267,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,1086,1087,0.0000671,123,106.7,1200,980,1500,2/10/2016,10,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2016-010A,41334
Kuaizhou-2,National Academy of Sciences,China,Government,Earth Observation,LEO,Sun-Synchronous,295,328,0.00247,96.54,90.76,1200,980,1500,11/21/2014,10,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Kuaizhou,2014-073A,40311
Prometheus 1A,Los Alamos National Laboratory,USA,Military,Technology Development,LEO,Non-Polar Inclined,432,444,0.000881,40.51,94.68,1200,980,1500,11/19/2013,10,Los Alamos National Laboratory,USA,Wallops Island Flight Facility,Minotaur 1,2013-064AC,39406
Prometheus 4A,Los Alamos National Laboratory,USA,Military,Technology Development,LEO,Non-Polar Inclined,430,444,0.00103,40.51,94.68,1200,980,1500,11/19/2013,10,Los Alamos National Laboratory,USA,Wallops Island Flight Facility,Minotaur 1,2013-064V,39399
Prometheus 4B,Los Alamos National Laboratory,USA,Military,Technology Development,LEO,Non-Polar Inclined,430,444,0.00103,40.51,94.68,1200,980,1500,11/19/2013,10,Los Alamos National Laboratory,USA,Wallops Island Flight Facility,Minotaur 1,2013-064X,39401
Pujiang-1,Shanghai Academy of Space Technology (SAST),China,Government,Technology Development,LEO,Sun-Synchronous,468,486,0.00131,97.31,94.14,1200,980,1500,9/24/2015,10,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 11,2015-051A,40925
Radio-ROSTO,RS3A Control Station,Russia,Civil,Communications,MEO,Non-Polar Inclined,1885,2165,0.0167,64.59,127.45,1200,980,1500,12/26/1994,10,Nilakt Posto and radio amateurs,Russia,Baikonur Cosmodrome,Rokot,1994-085A,23439
Cosmos 2499,Ministry of Defense,Russia,Military,Technology Development,LEO,Polar,1152,1503,0.0228,82.46,112.19,1200,980,1500,5/23/2014,10,Roskosmos/Russian Academy of Sciences,Russia,Plesetsk Cosmodrome,Rokot,2014-028E,39765
USA 229,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1019,1205,0.0124,63.4,107.5,1200,980,1500,4/15/2011,10,Lockheed Martin,USA,Vandenberg AFB,Atlas 5,2011-014A,37386
Shijian 11 02,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,686,704,0.00127,98.2,98.7,1200,980,1500,7/29/2011,10,Chinese Academy of Space Technology (CAST/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-039A,37765
Shijian 11 03,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,688,703,0.00106,98.2,98.7,1200,980,1500,7/6/2011,10,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-030A,37730
Shijian 11 05,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,689,704,0.00106,98.1,98.7,1200,980,1500,7/15/2013,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2013-035A,39202
Shijian 11 06,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,688,704,0.00113,98.26,98.69,1200,980,1500,3/31/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-014A,39624
Shijian 11 07,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,687,705,0.00127,98.12,98.69,1200,980,1500,9/28/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-059A,40261
Shijian 11 08,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,690,705,0.00106,98.2,98.6,1200,980,1500,10/27/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-066A,40286
Shijian 12,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,583,601,0.00129,97.7,96.5,1200,980,1500,6/15/2010,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-027A,36596
Shijian 15,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,661,673,0.000853,98.06,98.08,1200,980,1500,7/19/2013,10,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 3C,2013-037C,39210
Shijian 16 01,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Polar,599,616,0.00122,74.98,96.85,1200,980,1500,10/25/2013,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2013-057A,39358
Shijian 16 02,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Polar,338,594,0.0187,75,96.81,1200,980,1500,6/29/2016,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2016-043A,41634
Shijian 6C,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,Sun-Synchronous,591,594,0.000215,97.7,96.5,1200,980,1500,10/23/2006,10,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046A,29505
Shijian 6D,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,Sun-Synchronous,594,595,0.0000718,97.7,96.6,1200,980,1500,10/23/2006,10,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046B,29506
Shijian 6G,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,Sun-Synchronous,584,603,0.00136,97.7,96.6,1200,980,1500,10/6/2010,10,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051A,37179
Shijian 6H,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,Sun-Synchronous,586,602,0.00115,97.7,96.6,1200,980,1500,10/6/2010,10,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051B,37180
Shijian 9A,Shanghai Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,623,650,0.00193,97.99,97.44,1200,980,1500,10/14/2012,10,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056A,38860
Shijian 9B,Shanghai Academy of Space Technology (CAST),China,Government,Technology Development,LEO,Sun-Synchronous,624,651,0.00193,97.99,97.46,1200,980,1500,10/14/2012,10,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056B,38861
Shiyan 7,Chinese Academy of Space Technology (CAST),China,Military,Technology Development,LEO,Sun-Synchronous,668,672,0.000284,98.06,98.15,1200,980,1500,7/19/2013,10,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2013-037A,39208
SkySat-1,Terra Bella,USA,Commercial,Earth Observation,LEO,Sun-Synchronous,567,599,0.0023,97.81,96.34,1200,980,1500,11/21/2013,10,Skybox Imaging,USA,Dombarovsky Air Base,Dnepr,2013-066C,39418
USA 119,National Reconnaissance Office (NRO),USA,Military,Communications,Elliptical,Molniya,1200,11600,0.407,63.4,240,1200,980,1500,5/12/1996,10,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,1996-029A,23893
SNaP-3-1,US Southern Command,USA,Military,Communications,LEO,Polar,443,886,0.0315,120.3,98,1200,980,1500,12/6/2013,10,Naval Post-Graduate School,USA,Vandenberg AFB,Atlas 5,2013-072G,39468
USA 205,Missile Defense Agency (MDA),USA,Military,Technology Development,LEO,Sun-Synchronous,867,879,0.000828,98.93,102.41,1200,980,1500,5/5/2009,10,Northrop Grumman,USA,Vandenberg AFB,Delta 2,2009-023A,34903
TacSat 6,Operational Responsive Space (ORS) Office,USA,Military,Technology Development,LEO,Polar,443,886,0.0315,120.3,98,1200,980,1500,11/21/2010,10,Air Force Research Laboratory (AFRL),USA,Vandenberg AFB,Atlas 5,2013-072M,39473
Xinyan 1,DFH Satellite,China,Government,Technology Development,LEO,Sun-Synchronous,489,501,0.000874,97.35,94.51,1200,980,1500,11/18/2012,10,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 2C,2012-064C,38999
Yaogan 10,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,625,628,0.000214,97.8,97.2,1200,980,1500,8/9/2010,10,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2010-038A,36834
Yaogan 11,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,626,668,0.00299,97.9,97.7,1200,980,1500,9/22/2010,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-047A,37165
Yaogan 12,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,487,496,0.000656,97.4,94.4,1200,980,1500,11/9/2011,10,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2011-066B,37875
Yaogan 13,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,506,507,0.0000727,97.4,94.8,1200,980,1500,11/29/2011,10,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 2C,2011-072A,37941
Yaogan 14,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,469,481,0.000877,97.3,94.1,1200,980,1500,5/10/2012,10,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2012-021A,38257
Yaogan 16A,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1080,1089,0.000604,63.38,106.93,1200,980,1500,11/25/2012,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2012-066A,39011
Yaogan 16B,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1079,1090,0.000738,63.38,106.93,1200,980,1500,11/25/2012,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2012-066B,39012
Yaogan 16C,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1032,1081,0.0033,63.38,106.33,1200,980,1500,11/25/2012,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2012-066C,39013
Yaogan 17A,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1076,1111,0.00234,63.41,107.12,1200,980,1500,9/1/2013,10,Shanghai Academy of Satellite Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2013-046A,39239
Yaogan 17B,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1080,1111,0.00208,63.42,107.13,1200,980,1500,9/1/2013,10,Shanghai Academy of Satellite Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2013-046B,39240
Yaogan 17C,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,890,1112,0.0151,63.47,105.14,1200,980,1500,9/1/2013,10,Shanghai Academy of Satellite Technology (SAST),China,Jiuquan Satellite Launch Center,Long March 4C,2013-046C,39241
Yaogan 18,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,509,513,0.000291,97.54,94.84,1200,980,1500,10/29/2013,10,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 2C,2013-059A,39363
Yaogan 19,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,1201,1207,0.000396,100.48,109.51,1200,980,1500,11/20/2013,10,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2013-065A,39410
Yaogan 20A,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1085,1095,0.00067,63.4,107.05,1200,980,1500,8/9/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2014-047A,40109
Yaogan 20B,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1087,1093,0.000402,63.4,107.05,1200,980,1500,8/9/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2014-047B,40110
Yaogan 20C,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1087,1094,0.000469,63.4,107.05,1200,980,1500,8/9/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2014-047C,40111
Yaogan 21,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,480,494,0.00102,97.42,94.35,1200,980,1500,9/8/2014,10,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-053A,40143
Yaogan 22,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,1196,1209,0.000858,100.32,109.48,1200,980,1500,10/20/2014,10,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2014-063A,40275
Yaogan 23,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,492,513,0.00153,97.33,94.67,1200,980,1500,11/14/2014,10,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 2C,2014-071A,40305
Yaogan 24,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,630,653,0.00164,97.91,97.55,1200,980,1500,11/20/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-072A,40310
Yaogan 25A,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1089,1097,0.000536,63.41,107.12,1200,980,1500,12/10/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2014-080A,40338
Yaogan 25B,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1083,1093,0.00067,63.42,107.01,1200,980,1500,12/10/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2014-080B,40339
Yaogan 25C,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Non-Polar Inclined,1092,1113,0.00141,63.4,107.31,1200,980,1500,12/10/2014,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2014-0808C,40340
Yaogan 26,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,487,491,0.000292,97.44,94.39,1200,980,1500,12/27/2014,10,Chinese Academy of Space Tecnology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-088A,40362
Yaogan 27,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,1201,1213,0.000792,100.5,109.4,1200,980,1500,8/27/2015,10,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2015-040A,40878
Yaogan 8,People's Liberation Army (C41),China,Government,Earth Observation,LEO,Sun-Synchronous,1192,1205,0.000859,100.3,109.4,1200,980,1500,12/15/2009,10,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2009-072A,36121
Yaogan 9A,People's Liberation Army (C41),China,Government,Earth Observation,LEO,Non-Polar Inclined,1017,1164,0.00985,63.4,107.1,1200,980,1500,3/5/2010,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2010-009A,36413
Yaogan 9B,People's Liberation Army (C41),China,Government,Earth Observation,LEO,Non-Polar Inclined,1017,1164,0.00985,63.4,107.1,1200,980,1500,3/5/2010,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2010-009B,36414
Yaogan 9C,People's Liberation Army (C41),China,Government,Earth Observation,LEO,Non-Polar Inclined,1017,1164,0.00985,63.4,107.1,1200,980,1500,3/5/2010,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4C,2010-009C,36415
AAUSat-4,University of Aalborg,Denmark,Civil,Earth Observation,LEO,Sun-Synchronous,442,687,0.0177,98.2,95.9,1,980,1500,4/25/2016,10,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460
Aeneas,Department of Homeland Security,USA,Government,Technology Development,LEO,Equatorial,480,790,0.0221,0.02,97.4,3,980,1500,9/13/2012,10,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760
Aerocube 4.5A,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,495,791,0.0211,64.6,97.5,5,980,1500,9/13/2012,10,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767
Aerocube 4.5B,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,499,792,0.0209,64.6,97.6,5,980,1500,9/13/2012,10,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768
Aerocube 5C,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,500,802,0.0215,64.78,97.74,2,980,1500,10/8/2015,10,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965
Aerocube 7A,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,500,802,0.0215,64.6,97.4,2,980,1500,10/8/2015,10,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966
Aerocube 8A,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,356,700,0.0249,55,95.19,5,980,1500,5/20/2015,10,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659
Aerocube 8B,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,356,700,0.0249,55,95.19,5,980,1500,5/20/2015,10,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660
AISat-1,German Aerospace Center (DLR),Germany,Government,Communications,LEO,Sun-Synchronous,643,660,0.00121,98.25,97.76,14,980,1500,6/30/2014,10,German Aerospace Center (DLR),Germany,Satish Dhawan Space Center,PSLV-CA,2014-034B,40054
AIST-2D,Samara State Aerospace University,Russia,Civil,Technology Development,LEO,Sun-Synchronous,471,486,0.0011,97.28,94.18,531,980,1500,4/27/2016,10,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465
ALiCE,US Air Force Institute of Technology,USA,Military,Technology Development,LEO,Polar,443,886,0.0315,120.3,98,5,980,1500,12/6/2013,10,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467
Amsat-Oscar 7,Amsat-NA,USA,Civil,Communications,LEO,Polar,1440,1459,0.00121,101.4,114.9,29,980,1500,11/15/1974,10,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530
AntelSat,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Civil,Technology Development,LEO,Sun-Synchronous,612,696,0.00598,97.96,96.99,2,980,1500,6/19/2014,10,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Dombarovsky Air Base,Dnepr,2014-033AA,40034
ARC-1,University of Alaska-Fairbanks,USA,Civil,Technology Development,LEO,Non-Polar Inclined,497,801,0.0217,64.78,97.71,1,980,1500,10/8/2015,10,University of Alaska-Fairbanks,USA,Cape Canaveral,Atlas 5,2015-058F,40969
Athenoxat-1,Microspace Rapid Pvt Ltd.,Singapore,Commercial,Technology Development,LEO,Equatorial,532,550,0.0013,14.98,95.46,6,980,1500,12/16/2015,10,Microspace Rapid Pvt Ltd.,Singapore,Satish Dhawan Space Center,PSLV-C29,2015-077C,41168
BIROS,German Aerospace Center (DLR),Germany,Government,Earth Observation,LEO,Sun-Synchronous,500,517,0.00124,97.5,94.7,130,980,1500,6/22/2016,10,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV XL,2016-040F,41604
BisonSat,Salish Kootenai College,USA,Civil,Earth Observation/Technology Development,LEO,Non-Polar Inclined,497,801,0.0217,64.78,97.7,1,980,1500,10/8/2015,10,Salish Kootenai College,USA,Cape Canaveral,Atlas 5,2015-058E,40968
BRITE-CA-1,"University of Toronto, Institute for Aerospace Studies",Canada,Civil,Space Science,LEO,Sun-Synchronous,613,739,0.00894,97.97,98.27,10,980,1500,6/19/2014,10,"University of Toronto, Institute for Aerospace Studies",Canada,Dombarovsky Air Base,Dnepr,2014-033L,40020
Bugsat-1,Satellogic S.A.,Argentina,Commercial,Technology Development,LEO,Sun-Synchronous,570,617,0.00337,97.99,96.55,25,980,1500,6/19/2014,10,Satellogic S.A.,Argentina,Dombarovsky Air Base,Dnepr,2014-033E,40014
CBNT-1,Surrey Satellite Technology Ltd.,United Kingdom,Commercial,Technology Development,LEO,Sun-Synchronous,636,658,0.00157,98,97.66,91,980,1500,7/10/2015,10,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2015-032D,40718
Chuangxin 1-1,Chinese Academy of Sciences,China,Government,Communications,LEO,Sun-Synchronous,729,748,0.00134,98.5,99.6,100,980,1500,10/21/2003,10,China Academy of Sciences,China,Taiyuan Launch Center,Long March 3B,2003-049B,28058
Chuangxin 1-2,Chinese Academy of Sciences,China,Government,Earth Observation,LEO,Sun-Synchronous,785,804,0.00133,98.5,98.5,101,980,1500,11/5/2008,10,China Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056B,33434
Chuangxin 1-3,Chinese Academy of Sciences,China,Government,Earth Observation,LEO,Sun-Synchronous,784,804,0.0014,98.5,100.7,100,980,1500,11/20/2011,10,China Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068A,37930
Chuangxin 1-4,Chinese Academy of Sciences,China,Government,Earth Observation,LEO,Sun-Synchronous,778,809,0.00216,98.46,100.74,100,980,1500,9/4/2014,10,China Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2014-051B,40137
Chuangzin-3,Chinese Academy of Sciences,China,Government,Technology Development,LEO,Sun-Synchronous,665,672,0.000497,98.03,96.43,200,980,1500,7/19/2013,10,China Academy of Sciences,China,Taiyuan Launch Center,Long March 2C,2013-037B,39209
ChubuSat 1,Nagoya University and Daido University,Japan,Civil,Technology Development,LEO,Sun-Synchronous,506,538,0.00232,97.48,95.07,50,980,1500,11/6/2014,10,Nagoya University and Daido University,Japan,Dombarovsky Air Base,Dnepr,2014-070C,40300
ChubuSat 2,Nagoya University and Daido University,Japan,Civil,Technology Development,LEO,Sun-Synchronous,560,579,0.00137,31,96.05,50,980,1500,2/17/2016,10,Nagoya University and Daido University,Japan,Tanegashima Space Center,H-2A,2016-012B,41338
ChubuSat 3,Nagoya University and Daido University,Japan,Civil,Technology Development,LEO,Sun-Synchronous,558,579,0.00151,31,96,50,980,1500,2/17/2016,10,Nagoya University and Daido University,Japan,Tanegashima Space Center,H-2A,2016-012C,41339
CINEMA-1,University of California-Berkeley/Imperial College-London,USA,Civil,Space Science,LEO,Non-Polar Inclined,484,791,0.0219,64.6,97.4,3,980,1500,9/13/2012,10,"Space Sciences Laboratory (SSL) of the University of California Berkeley;  Kyung Hee University (KHU), Imperial College London",USA,Vandenberg AFB,Atlas 5,2012-048G,38764
CP-10,California Polytechnic State University/NASA JPL,USA,Civil,Earth Observation,LEO,Elliptical,441,657,0.0156,99.1,95.6,4,980,1500,1/31/2015,10,California Polytechnic University/NASA JPL,USA,Vandenberg AFB,Delta 2,2015-003E,40380
Cubebug 1,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Argentina,Civil,Technology Development,LEO,Sun-Synchronous,630,653,0.00164,98.05,97.55,2,980,1500,4/26/2013,10,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Jiuquan Satellite Launch Center,CZ-2D,2013-018D,39153
Cubebug 2,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Argentina,Civil,Technology Development,LEO,Sun-Synchronous,594,715,0.00861,97.8,97.8,2,980,1500,11/21/2013,10,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Dombarovsky Air Base,Dnepr,2013-066AA,39440
DCBB,China Amateur Satellite - CAMSAT,China,Civil,Technology Development,LEO,Sun-Synchronous,514,536,0.0016,97.46,95.13,3,980,1500,9/19/2015,10, Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049P,40912
Delfi-C3,"Technical University, Delft",Netherlands,Civil,Technology Development,LEO,Sun-Synchronous,598,616,0.00129,97.8,96.8,7,980,1500,4/28/2008,10,Technical University of Delft,Netherlands,Satish Dhawan Space Center,PSLV C9,2008-021G,32789
DMC 3-1,Surrey Satellite Technology Ltd.,United Kingdom,Commercial,Earth Observation,LEO,Sun-Synchronous,636,663,0.00192,98,97.71,447,980,1500,7/10/2015,10,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032A,40715
DMC 3-2,Surrey Satellite Technology Ltd.,United Kingdom,Commercial,Earth Observation,LEO,Sun-Synchronous,636,663,0.00192,98,97.71,447,980,1500,7/10/2015,10,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032B,40716
DMC 3-3,Surrey Satellite Technology Ltd.,United Kingdom,Commercial,Earth Observation,LEO,Sun-Synchronous,636,661,0.00178,98,97.69,447,980,1500,7/10/2015,10,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032C,40717
