official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
USA 147,DoD/NOAA,USA,Military,Earth Observation,LEO,Sun-Synchronous,837,851,0.00097,98.9,101.8,1152,823,900,12/12/1999,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1999-067A,25991
USA 172,DoD/NOAA,USA,Military,Earth Observation,LEO,Sun-Synchronous,843,852,0.000623,98.9,101.87,1154,825,900,10/18/2003,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,2003-048A,28054
USA 173,DoD/NOAA,USA,Military,Earth Observation,LEO,Sun-Synchronous,842,855,0.0009,98.79,101.89,1154,825,900,11/4/2006,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 4,2006-050A,29522
USA 210,DoD/NOAA,USA,Military,Earth Observation,LEO,Sun-Synchronous,842,859,0.00118,98.93,101.94,1155,825,900,10/18/2009,5,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Atlas 5,2009-057A,35951
Aqua,NASA - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,USA/Japan/Brazil,Government,Earth Observation,LEO,Sun-Synchronous,701,704,0.000212,98.2,98.8,2934,2832,4860,5/4/2002,6,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),USA/Japan/Brazil,Vandenberg AFB,Delta,2002-022A,27424
Formosat-2,National Space Program Office (NSPO),Taiwan,Government/Military,Earth Observation,LEO,Sun-Synchronous,890,893,0.000207,99,102.8,764,631,600,5/21/2004,5,Astrium/NSPO,France/UK/Germany/Taiwan,Vandenberg AFB,Taurus XL,2004-018A,28254
Fast On-orbit Recording of Transient Events) FORTÉ,Los Alamos National Labs/DOE,USA,Government,Earth Observation,LEO,Polar,790,823,0.0023,70,101,215,41,55,8/29/1997,3,Los Alamos National Lab/Sandia National Lab,USA,Vandenberg AFB,Pegasus XL,1997-047A,24920
"Gravity Recovery and Climate Experiment (Grace 1, ""Tom and Jerry"")","GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas",Germany/USA,Civil,Earth Observation,LEO,Polar,396,404,0.000591,89,93.4,480,445,150,3/17/2002,5,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,2002-012A,27391
"Gravity Recovery and Climate Experiment (Grace 2, ""Tom and Jerry"")","GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas",Germany/USA,Civil,Earth Observation,LEO,Polar,396,404,0.000591,89,93.4,480,445,150,3/17/2002,5,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,2002-012B,27392
Helios 2A,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),France/Italy/Belgium/Spain/Greece,Military,Earth Observation,LEO,Sun-Synchronous,681,683,0.000142,98.1,98,4200,1700,2900,12/18/2004,5,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5G,2004-049A,28492
Helios 2B,Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA),France/Italy/Belgium/Spain/Greece,Military,Earth Observation,LEO,Sun-Synchronous,679,682,0.000213,98.1,98.37,4200,1700,2900,12/18/2009,5,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-073A,36124
Hinode,Institute of Space and Aeronautical Science/NASA,Multinational,Government,Space Science,LEO,Sun-Synchronous,670,696,0.00184,98.1,98.4,700,530,1000,10/22/2006,3,"Institute of Space and Aeronautical Science, University of Tokyo/NASA",Japan/USA/UK/Germany,Uchinoura Space Center,JAXA M-V,2006-041A,29479
INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL),European Space Operations Centre (ESOC)/NASA/Russia,ESA/USA/Russia,Government,Space Science,Elliptical,Deep Highly Eccentric,6292,156833,0.856,53.95,4032.86,4000,3414,2000,10/17/2002,2,Alenia Aerospazio (and 28 subcontractors),Italy/International,Baikonur Cosmodrome,Proton,2002-048A,27540
Iridium 14A,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,708,711,0.000212,86.5,99,689,556,1400,6/11/1999,8,Motorola Satellite Communications Group,USA,Taiyuan Launch Center,Long March 2C,1999-032A,25777
Iridium 74,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,747,751,0.000281,86.5,99.8,689,556,1400,5/17/1998,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2 7920,1998-032D,25345
Iridium 91,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,744,753,0.000632,86.4,99.8,689,556,1400,2/11/2002,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005A,27372
Iridium 96,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,745,754,0.000632,87.2,99.8,689,556,1400,2/11/2002,8,Motorola Satellite Communications Group,USA,Vandenberg AFB,Delta 2,2002-005E,27376
Iridium 98,Iridium Satellite LLC,USA,Government/Commercial,Communications,LEO,Polar,748,750,0.00014,86.4,99.8,689,556,1400,6/20/2002,8,Motorola Satellite Communications Group,USA,Plesetsk Cosmodrome,Rokot/BrizKM,2002-031B,27451
Jason 2,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,USA/France,Government,Earth Observation,LEO,Non-Polar Inclined,1332,1344,0.000778,66,112.4,553,510,500,6/20/2008,5,Thales Alenia Space,France,Vandenberg AFB,Delta 2,2008-032A,33105
Jason 3,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,USA/France,Government,Earth Observation,LEO,Non-Polar Inclined,1301,1324,0.0015,66,111.8,553,510,500,1/17/2016,5,Thales Alenia Space,France,Vandenberg AFB,Falcon 9,2016-002A,41240
